Date.Day,Date.Full,Date.Month,Date.Year,Show.Name,Show.Theatre,Show.Type,Statistics.Attendance,Statistics.Capacity,Statistics.Gross,Statistics.Gross Potential,Statistics.Performances
12,4/12/92,4,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7656,87,314028,82,1
12,4/12/92,4,1992,Miss Saigon,Broadway,Musical,13773,99,699688,0,8
19,4/19/92,4,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,8381,96,354794,92,8
19,4/19/92,4,1992,Miss Saigon,Broadway,Musical,14019,101,700167,0,8
26,4/26/92,4,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,8663,99,368407,96,8
26,4/26/92,4,1992,Miss Saigon,Broadway,Musical,14088,101,705154,0,8
3,5/3/92,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7875,90,332830,87,8
3,5/3/92,5,1992,Miss Saigon,Broadway,Musical,13953,100,699304,0,8
10,5/10/92,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7070,81,293613,76,8
10,5/10/92,5,1992,Miss Saigon,Broadway,Musical,13938,100,697606,0,8
17,5/17/92,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7673,88,328716,86,8
17,5/17/92,5,1992,Miss Saigon,Broadway,Musical,14025,101,704589,0,8
24,5/24/92,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6958,79,289457,75,8
24,5/24/92,5,1992,Miss Saigon,Broadway,Musical,14088,101,706406,0,8
31,5/31/92,5,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6062,69,249238,65,8
31,5/31/92,5,1992,Miss Saigon,Broadway,Musical,13912,100,706526,0,8
7,6/7/92,6,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6059,69,250416,65,8
7,6/7/92,6,1992,Miss Saigon,Broadway,Musical,13596,98,691925,0,8
14,6/14/92,6,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6142,70,248778,65,8
14,6/14/92,6,1992,Miss Saigon,Broadway,Musical,13956,100,703465,0,8
21,6/21/92,6,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6111,70,243197,63,8
21,6/21/92,6,1992,Miss Saigon,Broadway,Musical,13916,100,701832,0,8
28,6/28/92,6,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6009,69,242339,63,8
28,6/28/92,6,1992,Miss Saigon,Broadway,Musical,13930,100,709530,0,8
5,7/5/92,7,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,4612,53,177043,46,8
5,7/5/92,7,1992,Miss Saigon,Broadway,Musical,13409,96,681135,0,8
12,7/12/92,7,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6065,69,236411,62,8
12,7/12/92,7,1992,Miss Saigon,Broadway,Musical,13337,96,681649,0,8
19,7/19/92,7,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,5996,68,226232,59,8
19,7/19/92,7,1992,Miss Saigon,Broadway,Musical,13303,95,676548,0,8
26,7/26/92,7,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6570,75,241848,63,8
26,7/26/92,7,1992,Miss Saigon,Broadway,Musical,13546,97,689763,0,8
2,8/2/92,8,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,6874,78,263971,69,8
2,8/2/92,8,1992,Miss Saigon,Broadway,Musical,13447,96,685791,0,8
9,8/9/92,8,1992,A Streetcar Named Desire 92,Ethel Barrymore,Play,7836,89,312031,81,8
9,8/9/92,8,1992,Miss Saigon,Broadway,Musical,13665,98,699232,0,8
16,8/16/92,8,1992,Miss Saigon,Broadway,Musical,13963,100,712610,0,8
23,8/23/92,8,1992,Miss Saigon,Broadway,Musical,13797,99,705498,0,8
30,8/30/92,8,1992,Miss Saigon,Broadway,Musical,13465,97,691377,0,8
6,9/6/92,9,1992,Miss Saigon,Broadway,Musical,13158,94,666784,0,8
13,9/13/92,9,1992,Miss Saigon,Broadway,Musical,13105,94,670350,0,8
20,9/20/92,9,1992,Miss Saigon,Broadway,Musical,13100,94,667858,0,8
27,9/27/92,9,1992,Miss Saigon,Broadway,Musical,12919,93,652488,0,8
4,10/4/92,10,1992,Miss Saigon,Broadway,Musical,12700,91,646625,0,8
11,10/11/92,10,1992,Miss Saigon,Broadway,Musical,13194,95,661180,0,8
18,10/18/92,10,1992,Miss Saigon,Broadway,Musical,13529,97,683698,0,8
25,10/25/92,10,1992,Miss Saigon,Broadway,Musical,13313,95,654515,0,8
1,11/1/92,11,1992,Miss Saigon,Broadway,Musical,13120,94,651594,0,8
8,11/8/92,11,1992,Miss Saigon,Broadway,Musical,12968,93,639435,0,8
15,11/15/92,11,1992,Miss Saigon,Broadway,Musical,13642,98,681526,0,8
22,11/22/92,11,1992,Miss Saigon,Broadway,Musical,12888,92,633370,0,8
29,11/29/92,11,1992,Miss Saigon,Broadway,Musical,13539,97,685666,0,8
6,12/6/92,12,1992,Miss Saigon,Broadway,Musical,12958,93,657157,0,8
13,12/13/92,12,1992,Miss Saigon,Broadway,Musical,13478,97,674234,0,8
20,12/20/92,12,1992,Miss Saigon,Broadway,Musical,12555,90,642710,0,8
27,12/27/92,12,1992,Miss Saigon,Broadway,Musical,13723,98,703292,0,8
3,1/3/93,1,1993,Miss Saigon,Broadway,Musical,14086,101,761443,0,8
10,1/10/93,1,1993,Miss Saigon,Broadway,Musical,13378,96,671574,0,8
17,1/17/93,1,1993,Miss Saigon,Broadway,Musical,12016,86,589070,0,8
24,1/24/93,1,1993,Miss Saigon,Broadway,Musical,10874,78,536214,0,8
31,1/31/93,1,1993,Miss Saigon,Broadway,Musical,10546,76,512563,0,8
7,2/7/93,2,1993,Miss Saigon,Broadway,Musical,10833,78,509955,0,8
14,2/14/93,2,1993,Miss Saigon,Broadway,Musical,12068,87,568632,0,8
21,2/21/93,2,1993,Miss Saigon,Broadway,Musical,13206,95,621309,0,8
28,2/28/93,2,1993,Miss Saigon,Broadway,Musical,12962,93,588610,0,8
7,3/7/93,3,1993,Miss Saigon,Broadway,Musical,12206,88,553998,0,8
7,3/7/93,3,1993,The Sisters Rosensweig,Ethel Barrymore,Play,6346,97,210560,78,0
14,3/14/93,3,1993,Miss Saigon,Broadway,Musical,12552,90,570125,0,8
14,3/14/93,3,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8420,96,296596,83,0
21,3/21/93,3,1993,Miss Saigon,Broadway,Musical,12312,88,565549,0,8
21,3/21/93,3,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7228,82,251618,70,4
28,3/28/93,3,1993,Miss Saigon,Broadway,Musical,13531,97,619592,0,8
28,3/28/93,3,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8583,98,290840,81,8
4,4/4/93,4,1993,Miss Saigon,Broadway,Musical,13353,96,603463,0,8
4,4/4/93,4,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8591,98,317779,89,8
11,4/11/93,4,1993,Miss Saigon,Broadway,Musical,13908,100,676307,0,8
11,4/11/93,4,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8646,99,325603,91,8
18,4/18/93,4,1993,Miss Saigon,Broadway,Musical,13924,100,644975,0,8
18,4/18/93,4,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8652,99,321028,90,8
25,4/25/93,4,1993,Miss Saigon,Broadway,Musical,13757,99,633524,0,8
25,4/25/93,4,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8579,98,318494,89,8
2,5/2/93,5,1993,Miss Saigon,Broadway,Musical,13438,96,628406,0,8
2,5/2/93,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8689,99,331872,93,8
9,5/9/93,5,1993,Miss Saigon,Broadway,Musical,13492,97,630932,0,8
9,5/9/93,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8588,98,331250,93,8
16,5/16/93,5,1993,Miss Saigon,Broadway,Musical,13159,94,628993,0,8
16,5/16/93,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8548,97,331251,93,8
23,5/23/93,5,1993,Miss Saigon,Broadway,Musical,14021,101,688323,0,8
23,5/23/93,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8574,98,338581,95,8
30,5/30/93,5,1993,Miss Saigon,Broadway,Musical,13716,98,647086,0,8
30,5/30/93,5,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8593,98,341255,95,8
6,6/6/93,6,1993,Miss Saigon,Broadway,Musical,13386,96,625804,0,8
6,6/6/93,6,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8634,98,340862,95,8
13,6/13/93,6,1993,Miss Saigon,Broadway,Musical,13870,99,651025,0,8
13,6/13/93,6,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8716,99,346414,97,8
20,6/20/93,6,1993,Miss Saigon,Broadway,Musical,13853,99,648784,0,8
20,6/20/93,6,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8731,100,346624,97,8
27,6/27/93,6,1993,Miss Saigon,Broadway,Musical,13713,98,633514,0,8
27,6/27/93,6,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8719,99,353646,99,8
4,7/4/93,7,1993,Miss Saigon,Broadway,Musical,13595,97,596972,0,8
4,7/4/93,7,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8740,100,355128,99,8
11,7/11/93,7,1993,Miss Saigon,Broadway,Musical,13196,95,590545,0,8
11,7/11/93,7,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8723,99,352134,98,8
18,7/18/93,7,1993,Miss Saigon,Broadway,Musical,13658,98,612295,0,8
18,7/18/93,7,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8733,100,351757,98,8
25,7/25/93,7,1993,Miss Saigon,Broadway,Musical,13742,99,608814,0,8
25,7/25/93,7,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8723,99,351725,98,8
1,8/1/93,8,1993,Miss Saigon,Broadway,Musical,13925,100,619202,0,8
1,8/1/93,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8731,100,360077,101,8
8,8/8/93,8,1993,Miss Saigon,Broadway,Musical,13969,100,641020,0,8
8,8/8/93,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8756,100,364650,102,8
15,8/15/93,8,1993,Miss Saigon,Broadway,Musical,14026,101,660301,0,8
15,8/15/93,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8725,100,365146,102,8
22,8/22/93,8,1993,Miss Saigon,Broadway,Musical,14029,101,659943,0,8
22,8/22/93,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8721,99,360052,101,8
29,8/29/93,8,1993,Miss Saigon,Broadway,Musical,14029,101,632019,0,8
29,8/29/93,8,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8000,91,327304,91,8
5,9/5/93,9,1993,Miss Saigon,Broadway,Musical,13655,98,606371,0,8
5,9/5/93,9,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7240,83,298172,73,8
12,9/12/93,9,1993,Miss Saigon,Broadway,Musical,13276,95,624574,0,8
12,9/12/93,9,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7432,85,305100,75,8
19,9/19/93,9,1993,Miss Saigon,Broadway,Musical,12729,91,605308,0,8
19,9/19/93,9,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7186,82,283422,70,8
26,9/26/93,9,1993,Miss Saigon,Broadway,Musical,13365,96,626809,0,8
26,9/26/93,9,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7036,80,273342,67,8
3,10/3/93,10,1993,Miss Saigon,Broadway,Musical,13629,98,634943,0,8
3,10/3/93,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8145,93,335198,82,8
10,10/10/93,10,1993,Miss Saigon,Broadway,Musical,13815,99,650645,0,8
10,10/10/93,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8353,95,344344,85,8
17,10/17/93,10,1993,Miss Saigon,Broadway,Musical,14025,101,667721,0,8
17,10/17/93,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8339,95,346642,85,8
24,10/24/93,10,1993,Miss Saigon,Broadway,Musical,13751,99,655615,0,8
24,10/24/93,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8295,95,347809,86,8
31,10/31/93,10,1993,Miss Saigon,Broadway,Musical,13098,94,615399,0,8
31,10/31/93,10,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7508,86,312152,77,8
7,11/7/93,11,1993,Miss Saigon,Broadway,Musical,12711,91,595922,0,8
7,11/7/93,11,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7492,85,312269,77,8
14,11/14/93,11,1993,Miss Saigon,Broadway,Musical,13025,93,604762,0,8
14,11/14/93,11,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7815,89,325958,80,8
21,11/21/93,11,1993,Miss Saigon,Broadway,Musical,13034,93,620387,0,8
21,11/21/93,11,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7798,89,322909,79,8
28,11/28/93,11,1993,Miss Saigon,Broadway,Musical,13970,100,682887,0,8
28,11/28/93,11,1993,The Sisters Rosensweig,Ethel Barrymore,Play,8535,97,344759,85,8
5,12/5/93,12,1993,Miss Saigon,Broadway,Musical,12925,93,615524,0,8
5,12/5/93,12,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7894,90,324558,80,8
12,12/12/93,12,1993,Miss Saigon,Broadway,Musical,13319,96,644538,0,8
12,12/12/93,12,1993,The Sisters Rosensweig,Ethel Barrymore,Play,7540,86,314423,77,8
19,12/19/93,12,1993,Miss Saigon,Broadway,Musical,12015,86,575625,0,8
19,12/19/93,12,1993,The Sisters Rosensweig,Ethel Barrymore,Play,6923,79,272259,67,8
26,12/26/93,12,1993,Miss Saigon,Broadway,Musical,13487,97,631806,0,8
26,12/26/93,12,1993,The Sisters Rosensweig,Ethel Barrymore,Play,6369,73,236215,58,8
2,1/2/94,1,1994,Miss Saigon,Broadway,Musical,14088,101,763535,0,8
2,1/2/94,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,8220,94,349517,89,8
9,1/9/94,1,1994,Miss Saigon,Broadway,Musical,13583,97,650811,0,8
9,1/9/94,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5800,66,223688,55,8
16,1/16/94,1,1994,Miss Saigon,Broadway,Musical,12263,88,562189,0,8
16,1/16/94,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6047,69,229553,56,8
23,1/23/94,1,1994,Miss Saigon,Broadway,Musical,10466,75,494369,0,8
23,1/23/94,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5379,61,207831,51,8
30,1/30/94,1,1994,Miss Saigon,Broadway,Musical,10374,74,469106,0,8
30,1/30/94,1,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4876,56,190051,47,8
6,2/6/94,2,1994,Miss Saigon,Broadway,Musical,10366,74,439099,0,8
6,2/6/94,2,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5042,58,190222,47,8
13,2/13/94,2,1994,Miss Saigon,Broadway,Musical,11256,81,476201,0,8
13,2/13/94,2,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4090,47,155438,38,8
20,2/20/94,2,1994,Miss Saigon,Broadway,Musical,12534,90,559483,0,8
20,2/20/94,2,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5553,63,200340,49,8
27,2/27/94,2,1994,Miss Saigon,Broadway,Musical,13347,96,530019,0,8
27,2/27/94,2,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5135,59,171422,42,8
6,3/6/94,3,1994,Miss Saigon,Broadway,Musical,10022,72,421757,0,8
6,3/6/94,3,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4122,47,145023,36,8
13,3/13/94,3,1994,Beauty And The Beast,Palace,Musical,9018,86,410334,0,0
13,3/13/94,3,1994,Miss Saigon,Broadway,Musical,12114,87,478881,0,8
13,3/13/94,3,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5133,59,162131,40,8
20,3/20/94,3,1994,A Little More Magic,Belasco,Special,1999,33,42000,33,3
20,3/20/94,3,1994,Beauty And The Beast,Palace,Musical,11072,80,514041,0,0
20,3/20/94,3,1994,Miss Saigon,Broadway,Musical,13286,95,535016,0,8
20,3/20/94,3,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5199,59,161765,40,8
27,3/27/94,3,1994,A Little More Magic,Belasco,Special,2665,33,58000,45,8
27,3/27/94,3,1994,Beauty And The Beast,Palace,Musical,11845,85,539446,0,0
27,3/27/94,3,1994,Miss Saigon,Broadway,Musical,13560,97,557699,0,8
27,3/27/94,3,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4037,46,125996,31,8
3,4/3/94,4,1994,A Little More Magic,Belasco,Special,3232,40,60000,47,8
3,4/3/94,4,1994,Beauty And The Beast,Palace,Musical,13809,99,664043,0,0
3,4/3/94,4,1994,Miss Saigon,Broadway,Musical,13792,99,608806,0,8
3,4/3/94,4,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5587,64,176874,43,8
10,4/10/94,4,1994,Beauty And The Beast,Palace,Musical,12456,89,602833,0,0
10,4/10/94,4,1994,Miss Saigon,Broadway,Musical,13431,96,601215,0,8
10,4/10/94,4,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5542,63,178818,44,8
17,4/17/94,4,1994,Beauty And The Beast,Palace,Musical,10486,75,517176,0,0
17,4/17/94,4,1994,Broken Glass,Booth,Play,4693,73,101439,37,0
17,4/17/94,4,1994,Miss Saigon,Broadway,Musical,11837,85,529194,0,8
17,4/17/94,4,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5184,59,175720,43,8
24,4/24/94,4,1994,Beauty And The Beast,Palace,Musical,11756,84,579078,0,8
24,4/24/94,4,1994,Broken Glass,Booth,Play,4350,67,110828,40,1
24,4/24/94,4,1994,Miss Saigon,Broadway,Musical,13724,98,621247,0,8
24,4/24/94,4,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5653,64,184197,45,8
1,5/1/94,5,1994,Beauty And The Beast,Palace,Musical,12819,92,640515,0,8
1,5/1/94,5,1994,Broken Glass,Booth,Play,4611,72,130235,47,8
1,5/1/94,5,1994,Miss Saigon,Broadway,Musical,12643,91,565687,0,8
1,5/1/94,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5366,61,163688,40,8
8,5/8/94,5,1994,Beauty And The Beast,Palace,Musical,13810,99,680557,0,8
8,5/8/94,5,1994,Broken Glass,Booth,Play,4820,75,137387,50,8
8,5/8/94,5,1994,Miss Saigon,Broadway,Musical,13106,94,597026,0,8
8,5/8/94,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5752,66,175704,43,8
15,5/15/94,5,1994,Beauty And The Beast,Palace,Musical,13339,96,670497,0,8
15,5/15/94,5,1994,Broken Glass,Booth,Play,5375,83,144713,52,8
15,5/15/94,5,1994,Miss Saigon,Broadway,Musical,12762,92,581270,0,8
15,5/15/94,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6055,69,182854,45,8
22,5/22/94,5,1994,Beauty And The Beast,Palace,Musical,14135,102,699159,0,8
22,5/22/94,5,1994,Broken Glass,Booth,Play,4422,69,128673,46,8
22,5/22/94,5,1994,Miss Saigon,Broadway,Musical,13129,94,608810,0,8
22,5/22/94,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6573,75,199905,49,8
29,5/29/94,5,1994,Beauty And The Beast,Palace,Musical,14071,101,706051,0,8
29,5/29/94,5,1994,Broken Glass,Booth,Play,4568,71,134999,49,8
29,5/29/94,5,1994,Miss Saigon,Broadway,Musical,13237,95,603264,0,8
29,5/29/94,5,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6570,75,179420,44,8
5,6/5/94,6,1994,Beauty And The Beast,Palace,Musical,13922,100,700153,0,8
5,6/5/94,6,1994,Broken Glass,Booth,Play,3668,57,110708,40,8
5,6/5/94,6,1994,Miss Saigon,Broadway,Musical,12410,89,550033,0,8
5,6/5/94,6,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4569,52,140373,35,8
12,6/12/94,6,1994,Beauty And The Beast,Palace,Musical,14118,101,703643,0,8
12,6/12/94,6,1994,Broken Glass,Booth,Play,4752,74,134698,49,8
12,6/12/94,6,1994,Miss Saigon,Broadway,Musical,12748,91,573191,0,8
12,6/12/94,6,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5491,63,154988,38,8
19,6/19/94,6,1994,Beauty And The Beast,Palace,Musical,14120,101,711816,0,8
19,6/19/94,6,1994,Broken Glass,Booth,Play,3655,57,103884,37,8
19,6/19/94,6,1994,Miss Saigon,Broadway,Musical,12287,88,554559,0,8
19,6/19/94,6,1994,The Sisters Rosensweig,Ethel Barrymore,Play,4374,50,118313,29,8
26,6/26/94,6,1994,Beauty And The Beast,Palace,Musical,14134,102,714442,0,8
26,6/26/94,6,1994,Broken Glass,Booth,Play,5046,78,155897,56,8
26,6/26/94,6,1994,Miss Saigon,Broadway,Musical,13507,97,614889,0,8
26,6/26/94,6,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5314,61,153316,38,8
3,7/3/94,7,1994,Beauty And The Beast,Palace,Musical,14120,101,716084,0,8
3,7/3/94,7,1994,Miss Saigon,Broadway,Musical,12978,93,552597,0,8
3,7/3/94,7,1994,The Sisters Rosensweig,Ethel Barrymore,Play,6264,71,155138,38,8
10,7/10/94,7,1994,Beauty And The Beast,Palace,Musical,14088,101,714565,0,8
10,7/10/94,7,1994,Miss Saigon,Broadway,Musical,11405,82,489894,0,8
10,7/10/94,7,1994,The Sisters Rosensweig,Ethel Barrymore,Play,5761,66,155918,38,8
17,7/17/94,7,1994,Beauty And The Beast,Palace,Musical,14144,102,715101,0,8
17,7/17/94,7,1994,Miss Saigon,Broadway,Musical,13088,94,574035,0,8
17,7/17/94,7,1994,The Sisters Rosensweig,Ethel Barrymore,Play,7357,84,196097,48,8
24,7/24/94,7,1994,Beauty And The Beast,Palace,Musical,14106,101,716171,0,8
24,7/24/94,7,1994,Miss Saigon,Broadway,Musical,13364,96,587439,0,8
31,7/31/94,7,1994,Beauty And The Beast,Palace,Musical,14071,101,710046,0,8
31,7/31/94,7,1994,Miss Saigon,Broadway,Musical,13079,94,572411,0,8
7,8/7/94,8,1994,Beauty And The Beast,Palace,Musical,14117,101,710021,0,8
7,8/7/94,8,1994,Miss Saigon,Broadway,Musical,13038,94,569929,0,8
14,8/14/94,8,1994,Beauty And The Beast,Palace,Musical,14100,101,711107,0,8
14,8/14/94,8,1994,Miss Saigon,Broadway,Musical,13815,99,608772,0,8
21,8/21/94,8,1994,Beauty And The Beast,Palace,Musical,14091,101,713730,0,8
